wer,cer,time,memory,transcription,reference,model,dataset,sample_idx
0.375,0.13636363636363635,1.1972968578338623,368.80859375,HE WAS BURIED IN LAHOR NEAR ANNACOLLI BAZAR,He was buried in Lahore near Anarkali Bazaar.,wav2vec2-small,CommonVoice2,0
0.15384615384615385,0.03125,1.1660902500152588,53.35546875,A DOG TRYING TO CATCH BOBBLES FROM A BOBBLE MACHINE IN THE GRASS,A dog trying to catch bubbles from a bubble machine in the grass,wav2vec2-small,CommonVoice2,1
0.0,0.0,1.0161685943603516,23.078125,ONE SHOULD ALWAYS LEAVE A LIGHT BURNING IN AN EMPTY THEATRE,One should always leave a light burning in an empty theatre.,wav2vec2-small,CommonVoice2,2
0.21428571428571427,0.05,0.9691212177276611,-14.5625,LIKE THE ROMA IN GENERAL MANY DIFFERENT ETHANUMS ARE GIVEN TO SUB GROUPS OF ROMA,"Like the Roma in general, many different ethnonyms are given to subgroups of Roma.",wav2vec2-small,CommonVoice2,3
0.0,0.0,0.8125162124633789,-6.53125,SHE HAD TWO CHILDREN FROM HER FIRST MARRIAGE,She had two children from her first marriage.,wav2vec2-small,CommonVoice2,4
0.0,0.0,0.812309741973877,-0.4765625,CURRENTLY TWO SPECIES ARE RECOGNIZED,"Currently, two species are recognized.",wav2vec2-small,CommonVoice2,5
0.6363636363636364,0.12903225806451613,1.4421777725219727,20.0078125,EXAMPLES OF THERMOSETTING ADHESIVEZAR EPOXI POLY UROTHANE SCIENOACRILATE AND ACRILIC POLUMERS,"Examples of thermosetting adhesives are: epoxy, polyurethane, cyanoacrylate and acrylic polymers.",wav2vec2-small,CommonVoice2,6
0.3076923076923077,0.1111111111111111,1.1468477249145508,-0.56640625,HIS FATHER IS THE KING OF OSHARK'S ALSO KNOWN AS THE SHARPGOD,"His father is ""The King of All Sharks""-also known as the Shark god.",wav2vec2-small,CommonVoice2,7
0.5714285714285714,0.2222222222222222,0.602001428604126,20.87109375,WOR DE BISHOV SWITH SO MANY QUEENS,Who need bishops with so many queens?,wav2vec2-small,CommonVoice2,8
0.2222222222222222,0.08620689655172414,0.7430586814880371,-10.421875,FLIP WAS APPOINTED TO A NUMBER OF FOUNDATION LECTURSHOOPS,Flint was appointed to a number of foundation lectureships.,wav2vec2-small,CommonVoice2,9
0.1,0.015873015873015872,1.0006639957427979,-3.703125,MY ENITIAL ASSUMPTION ABOUT THE PHASE DISPLACED PULSE WAS WRONG,My initial assumption about the phase displaced pulse was wrong.,wav2vec2-small,CommonVoice2,10
0.0,0.0,1.3906092643737793,-0.48828125,HE WAS ALSO EMPLOYED THERE AS AN ASSISTANT PROFESSOR OF POLITICAL SCIENCE,He was also employed there as an assistant professor of political science.,wav2vec2-small,CommonVoice2,11
0.07692307692307693,0.05405405405405406,1.1074132919311523,0.2109375,THE BABILARITY OF THE PLAY CREATED A DEMAND FOR PUBLICATION OF THE STORIES,The popularity of the play created a demand for publication of the stories.,wav2vec2-small,CommonVoice2,12
0.3076923076923077,0.06329113924050633,1.2711691856384277,9.37109375,THE NATIVE RANGE FORMARLY EXTENDED SOUTH INTO THE GREAT LAKE BACIN IN MISHIGON,The native range formerly extended south into the Great Lakes basin in Michigan.,wav2vec2-small,CommonVoice2,13
0.08333333333333333,0.03571428571428571,0.9742622375488281,-6.48046875,I WANT TO BOOK A RESTRANT IN NEW MEXICO FOR TWO PEOPLE,I want to book a restaurant in New Mexico for two people.,wav2vec2-small,CommonVoice2,14
0.0,0.0,0.7244479656219482,1.6171875,A SMALL CHILD IS HELPING WITH GARDENING,A small child is helping with gardening.,wav2vec2-small,CommonVoice2,15
0.42857142857142855,0.13793103448275862,1.4650135040283203,9.109375,THE TRAIN CONTINUED NARTH TRANSIT POLISVOR NOTIFIED OF THE SITUATION AT FORDHUM ROD RO,The train continued north; transit police were notified of the situation at Fordham Road.,wav2vec2-small,CommonVoice2,16
0.1111111111111111,0.02040816326530612,0.8935825824737549,3.19140625,A GROUP OF STUDENTS ARE SITTING OUTSIDE ON CAMPAS,A group of students are sitting outside on campus.,wav2vec2-small,CommonVoice2,17
0.0,0.0,0.936100959777832,20.046875,THE TREE WAS BLOWN UP AND THE SOUND COULD BE HEARD FOR MILES,The tree was blown up and the sound could be heard for miles.,wav2vec2-small,CommonVoice2,18
0.16666666666666666,0.029411764705882353,1.3615145683288574,-19.640625,THIS AREA WAS UNDER THE SOUTHERN PART OF ANCIENT BENGA CALLED BANGA,This area was under the southern part of ancient Bengal called Vanga.,wav2vec2-small,CommonVoice2,19
0.45454545454545453,0.1111111111111111,1.2961256504058838,5.46875,THE ONE YEAR OLD SIMAPY WAS INSTEAD CREATED THE PRINCE OF FLANGI,The one-year-old Sima Pi was instead created the Prince of Langye.,wav2vec2-small,CommonVoice2,20
0.35714285714285715,0.11702127659574468,1.1677706241607666,0.53515625,THE AMOUNT OF ENDACTIVE CAPLING BHE TWAIN TWO CONDACTAS IS MEASURED BY THEIR MUTUAL INDUCTANCE,The amount of inductive coupling between two conductors is measured by their mutual inductance.,wav2vec2-small,CommonVoice2,21
1.0,0.425531914893617,1.1806070804595947,-3.40625,HO CUR TITER IS WOMAN I ONECIAP MYS TAR,Her current title is Woman International Master.,wav2vec2-small,CommonVoice2,22
0.36363636363636365,0.1,1.3768811225891113,7.375,CLARENT'S STRAIGHT IS LONG EXTENDING FROM DIXON ENTRANCE TO SUMLER STRAIGHT,"Clarence Strait is long, extending from Dixon Entrance to Sumner Strait.",wav2vec2-small,CommonVoice2,23
1.25,0.6666666666666666,1.0428433418273926,-0.16796875,THE OGLAN TO BEA CASLE OF THIS WAY SUGEST O PAPEDAY,The Auckland City Council recently purchased the property.,wav2vec2-small,CommonVoice2,24
0.2,0.06944444444444445,0.8462560176849365,23.34765625,A BIS LIS LOOKS BEHIND HIM TO CHACK ON A GIRL RIDING A BIKE BEHIND HIM,A bicyclist looks behind him to check on a girl riding a bike behind him.,wav2vec2-small,CommonVoice2,25
0.2857142857142857,0.045454545454545456,0.8623800277709961,-22.890625,THE CITY WAS PARTLY DESTROYED BY MITH RUDATES,The city was partly destroyed by Mithridates.,wav2vec2-small,CommonVoice2,26
0.08333333333333333,0.0136986301369863,1.0288221836090088,-3.265625,COMPETITION BEGINS AN APRIL AND THE FINAL IS NORMALLY PLAYED IN SEPTEMBER,"Competition begins in April, and the final is normally played in September.",wav2vec2-small,CommonVoice2,27
0.5,0.1951219512195122,1.374565839767456,2.1796875,PAVE THE STREETS AND SENTOR WATER AND SEAWOR SERVE ALL LOTS DEVOR WITH IN THE PLAN,Paved streets and central water and sewer serve all lots developed within the plan.,wav2vec2-small,CommonVoice2,28
0.15384615384615385,0.04838709677419355,0.9547040462493896,13.97265625,A BRID GETTING READY TO THROW HER BOUCUAT TO A GROUP OF WOMEN,A bride getting ready to throw her bouquet to a group of women.,wav2vec2-small,CommonVoice2,29
0.25,0.037037037037037035,1.0187969207763672,1.63671875,IT WAS DISTRIBUTED BY SO ANY PICTURES HOME ENTERTAINMENT,It was distributed by Sony Pictures Home Entertainment.,wav2vec2-small,CommonVoice2,30
0.375,0.16071428571428573,1.0846226215362549,1.22265625,THEREFORE MORE CONFLICT AND MORE LEATHLANDED DEGENERATED,"Therefore, more conflict and more lethal energy generated.",wav2vec2-small,CommonVoice2,31
0.75,0.3,0.988609790802002,-14.5546875,PLANT'S BREATHAD END,Plants breathe it in...,wav2vec2-small,CommonVoice2,32
0.1,0.031746031746031744,0.7683377265930176,6.046875,HE WANTED TO KNOW ABOUT THE STANASLOVSKI AND STRASBERG THEORIES,He wanted to know about the Stanislavski and Strasberg theories.,wav2vec2-small,CommonVoice2,33
0.25,0.1,1.0601341724395752,-2.70703125,WICH REMAINS THEIRE ONLY SINGLE TO LAND ON EITHER OF THE CHURPS,It remains their only single to land on either of the charts.,wav2vec2-small,CommonVoice2,34
0.4444444444444444,0.10344827586206896,1.0633544921875,5.79296875,OU A COLLECTIV RESEARCH HAS NOT CREATED A SINGLE ALGORRIDUM,Our collective research has not created a single algorithm.,wav2vec2-small,CommonVoice2,35
0.2857142857142857,0.04,1.1229333877563477,-3.46875,THE UNIVERSITY OVICE CHANCELLOR AND OTHER OFFICIALS WERE PRESENT AS ARMED PLICE SURROUNDED THE CAMPAS,The university vice-chancellor and other officials were present as armed police surrounded the campus.,wav2vec2-small,CommonVoice2,36
0.0,0.0,0.880821704864502,-0.7265625,HOWARD LAKE DEVELOPED AS A RAILROAD STATION,Howard Lake developed as a railroad station.,wav2vec2-small,CommonVoice2,37
0.5,0.06976744186046512,0.8687024116516113,0.87890625,THE STATION ALSO AS UNDER CURRENTS NIGHTLY,"The station also airs ""UnderCurrents"" nightly.",wav2vec2-small,CommonVoice2,38
0.0,0.0,0.7711856365203857,-0.1171875,A MAN PAINTS ON AN EASEL AS PEOPLE WALK BY,A man paints on an easel as people walk by.,wav2vec2-small,CommonVoice2,39
0.2,0.08,1.055558204650879,1.9140625,IN ONE QUICK MOOVE SHE ECTIWATED THE AFT CANNONS AND FIRED ON THE ANAMI SHIP,"In one quick move, she activated the aft cannons and fired on the enemy ship.",wav2vec2-small,CommonVoice2,40
0.2857142857142857,0.1411764705882353,1.4208824634552002,4.15234375,THE CHARACTER IS AN AATLANTION OF MARVEL SHARDS UNIVERSE KNOWN AS THE MOUTHOR UNIVERSE,"The character is an Atlantean of Marvel's shared universe, known as the Marvel Universe.",wav2vec2-small,CommonVoice2,41
0.0,0.0,0.5117170810699463,10.515625,AN OLD MAN SITS WITH A TRAY IN HIS LAP,An old man sits with a tray in his lap.,wav2vec2-small,CommonVoice2,42
0.36363636363636365,0.06944444444444445,1.1369757652282715,-10.94140625,ON OCCASION HE IS WORN AN ARMOURED BETTLE SUIT OF UNREVEALED CAPABILITIES,"On occasion, he has worn an armored battlesuit of unrevealed capabilities.",wav2vec2-small,CommonVoice2,43
1.6666666666666667,0.7272727272727273,0.9562311172485352,-0.22265625,IWE DRUS EVYLY ON A GROFF FEL AN MAGLA TO CLO WICH IN YER O E,It draws heavily on graph theory and mathematical logic.,wav2vec2-small,CommonVoice2,44
0.0,0.0,1.045699119567871,6.8359375,IT HAD A SMALL CHANCEL AND ITS EMBATTLED WESTERN TOWER CONTAINED A SINGLE BELL,It had a small chancel and its embattled western tower contained a single bell.,wav2vec2-small,CommonVoice2,45
0.0,0.0,0.525519847869873,-2.9921875,IT WAS ALL GONE NOW,It was all gone now.,wav2vec2-small,CommonVoice2,46
0.2,0.06557377049180328,0.9689426422119141,3.37109375,LATER HE BECAME PARSON'S DEPUTY FOR THE GUNTYPED FISHING WEAPON,Later he became Parsons' deputy for the gun-type fission weapon.,wav2vec2-small,CommonVoice2,47
0.2,0.038461538461538464,0.41596460342407227,-3.19921875,GIVE THIS NOVEL FOR STARS,Give this novel four stars,wav2vec2-small,CommonVoice2,48
0.15384615384615385,0.03896103896103896,1.1038463115692139,5.6640625,THE BRAVOS AND THE SAMPHATRICIOS WERE STATIONED ON THE LEFT BEHIND BARRICADES,"The ""Bravos"" and the ""San Patricios"" were stationed on the left, behind barricades.",wav2vec2-small,CommonVoice2,49
0.14285714285714285,0.018867924528301886,1.7236833572387695,9.24609375,AT THAT STATION THE SAFES WERE GIVEN OUT HEAVY WITH SHOT NOT GOLD THE THIEVES WENT ON TO DOVER AND BY AND BY,"At that station the safes were given out, heavy with shot, not gold; the thieves went on to Dover, and by-and-by,",wav2vec2-small,LJSpeech,0
0.14285714285714285,0.05714285714285714,0.4688737392425537,23.1171875,NO TRACES OF ITS MOTE HAVE APPEARED,No traces of its moat have appeared.,wav2vec2-small,LJSpeech,1
0.1111111111111111,0.028037383177570093,1.4559776782989502,-10.0078125,A NOTORIOUS MISER ROBERT SMITH HAD RECENTLY DIED IN SEVEN DILES WHERE HE HAD MASSED A CONSIDERABLE FORTUNE,"A notorious miser, Robert Smith, had recently died in Seven Dials, where he had amassed a considerable fortune.",wav2vec2-small,LJSpeech,2
0.0,0.0,0.4817967414855957,-1.3359375,NO ATTEMPT WAS MADE TO MAINTAIN DISCIPLINE,No attempt was made to maintain discipline.,wav2vec2-small,LJSpeech,3
0.0,0.0,1.197197437286377,-7.921875,FEW REALIZING THAT THE DREADFUL FATE WOULD OVERTAKE THEM DISMISSED THE PROSPECT OF DEATH,"Few realizing that the dreadful fate would overtake them, dismissed the prospect of death,",wav2vec2-small,LJSpeech,4
0.625,0.6666666666666666,1.4014286994934082,8.73046875,THIS PRICE INCLUDED NINETEEN DOLLARS NINETY FIVE CENTS FOR THE RIFLE AND THE SCOPE AND ONE DOLLAR FIFTY CENTS FOR POSTAGE IN HANDLING,"This price included $19.95 for the rifle and the scope, and $1.50 for postage and handling.",wav2vec2-small,LJSpeech,5
0.0,0.0,0.9664087295532227,-2.08984375,AND SHE MUST HAVE RUN DOWN THE STAIRS AHEAD OF OSWALD AND WOULD PROBABLY HAVE SEEN OR HEARD HIM,and she must have run down the stairs ahead of Oswald and would probably have seen or heard him.,wav2vec2-small,LJSpeech,6
0.25,0.15151515151515152,0.923241138458252,-12.21875,BRUR MET MICDONNELD AND THE OTHER POLICEMEN AT THE ALLEY EGGZET DOOR,"Brewer met McDonald and the other policemen at the alley exit door,",wav2vec2-small,LJSpeech,7
0.0,0.0,1.4322943687438965,3.99609375,THE ADMISSION OF A CROWD OF VISITORS TO ASSIST IN THESE LAY SERVICES HAS ALREADY BEEN REMARKED UPON AS THE INSPECTORS POINTED OUT,"The admission of a crowd of visitors to assist in these lay services has already been remarked upon; as the inspectors pointed out,",wav2vec2-small,LJSpeech,8
0.2222222222222222,0.023255813953488372,1.5698165893554688,1.17578125,NEXT THE OFFENCES OF RETURNING FROM TRANSPORTATION STEALING POST OFFICE LETTERS AND SACRELEGE WERE NO LONGER PUNISHABLE WITH DEATH,"next, the offenses of returning from transportation, stealing post-office letters, and sacrilege were no longer punishable with death.",wav2vec2-small,LJSpeech,9
0.0,0.0,1.0329475402832031,-4.3046875,SEEMS NECESSARY TO PRODUCE THE SAME RESULT OF JUSTICE AND RIGHT CONDUCT,seems necessary to produce the same result of justice and right conduct,wav2vec2-small,LJSpeech,10
0.0,0.0,0.9667620658874512,1.80078125,WITH SOME IMPORTANT MODIFICATIONS THIS PRINCIPLE OF RADIATION IS STILL THE RULE,With some important modifications this principle of radiation is still the rule.,wav2vec2-small,LJSpeech,11
0.25,0.0975609756097561,1.1332762241363525,2.01953125,WHEN HIS TEMPORARY RESIDENCE BLARE HOUSE WAS ATTACKED BY PORTERIQIAN NATIONALISTS,"when his temporary residence, Blair House, was attacked by Puerto Rican Nationalists.",wav2vec2-small,LJSpeech,12
0.2857142857142857,0.20224719101123595,1.3667140007019043,2.61328125,THE RECONSTRUCTION WAS THE MINAMUM TIME ACCORDINGLY SHE PROBABLY MET OSWALD AT ABOUT TWELVE THIRTY TWO,"The reconstruction was the minimum time. Accordingly, she probably met Oswald at about 12:32,",wav2vec2-small,LJSpeech,13
0.0,0.0,1.3880727291107178,-0.20703125,BESIDES THESE A NUMBER HAD THE PRIVILEGE OF A RUN ON THE KEY WHICH ALLOWED A PRISONER TO GO INTO THE RULES FOR THE DAY,"Besides these, a number had the privilege of a ""run on the key,"" which allowed a prisoner to go into the rules for the day.",wav2vec2-small,LJSpeech,14
0.15,0.1693548387096774,1.7349634170532227,2.5234375,ABUSES AND IRREGULARITIES WHICH HAD BEEN PARTIALLY REMEDIED BY THE REFORM INTRODUCED IN EIGHTEEN THIRTY SEVEN WERE ONCE MORE IN THE ASCENDANT,"Abuses and irregularities, which had been partially remedied by the reform introduced in 1837, were once more in the ascendant.",wav2vec2-small,LJSpeech,15
0.0,0.0,1.4980394840240479,-0.46484375,I HOPE THAT THEREBY THE DIFFICULT PROCESS OF CONSTITUTIONAL AMENDMENT MAY BE RENDERED UNNECESSARY BUT,"I hope that thereby the difficult process of constitutional amendment may be rendered unnecessary. But,",wav2vec2-small,LJSpeech,16
0.058823529411764705,0.009174311926605505,1.4320881366729736,-0.16015625,CAN BE DISTINGUISHED FROM THOSE ACTS OF CONTRACTION FOLLOWING UPON STIMULY WHICH ARE CALLED REFLEX IN ANIMALS,"can be distinguished from those acts of contraction following upon stimuli, which are called ""reflex"" in animals.",wav2vec2-small,LJSpeech,17
0.0,0.0,1.427506446838379,0.8046875,A WEIGHT OF SHOT WAS BOUGHT AND STOWED IN CARPET BAGS READY TO REPLACE EXACTLY THE ABSTRACTED GOLD,A weight of shot was bought and stowed in carpet bags ready to replace exactly the abstracted gold.,wav2vec2-small,LJSpeech,18
0.14285714285714285,0.03333333333333333,1.5697450637817383,0.80078125,THOU COVEREST THE FOWLESS DEEDS WITH THE FAIREST POSSIBLE NAME WHEN THOU SAYEST THY MAMING IS TO HELP OUR SEEGE FORWARD,"thou coverest the foulest deeds with the fairest possible name, when thou sayest thy maiming is to help our siege forward.",wav2vec2-small,LJSpeech,19
0.1,0.009009009009009009,1.3843140602111816,0.34765625,JUST AS THE TRAIN WAS STARTING AGAR SLIPPED INTO THE VAN WITH BURGESS AND PIERCE GOT INTO A FIRST CLASS CARRIAGE,"Just as the train was starting Agar slipped into the van with Burgess, and Pierce got into a first-class carriage.",wav2vec2-small,LJSpeech,20
0.0,0.0,1.5400726795196533,1.546875,THERE REMAINS THE QUESTION OF WHAT IMPELLED OSWALD TO CONCEIVE AND TO CARRY OUT THE ASSASSINATION OF THE PRESIDENT OF THE UNITED STATES,There remains the question of what impelled Oswald to conceive and to carry out the assassination of the President of the United States.,wav2vec2-small,LJSpeech,21
0.0,0.0,1.324761152267456,-1.5078125,WOULD SEE ANYTHING IN THE NEWSPAPER ABOUT HIS DEFECTION UNLESS HE ENGAGED IN ACTIVITIES SIMILAR TO THOSE,"would see anything in the newspaper about his defection, unless he engaged in activities similar to those",wav2vec2-small,LJSpeech,22
0.058823529411764705,0.011904761904761904,1.0310909748077393,-0.515625,I WANT TO TALK WITH YOU VERY SIMPLY ABOUT THE NEED FOR PRESENT ACTION IN THIS CHRISIS,I want to talk with you very simply about the need for present action in this crisis,wav2vec2-small,LJSpeech,23
0.041666666666666664,0.007352941176470588,1.5416886806488037,19.890625,BUT THERE WERE NO SERIOUS ACCIDENTS BEYOND THOSE CAUSED BY THE GOARING OF A MADDENED OVERDRIVEN OX WHICH FORCED ITS WAY THROUGH THE CROWD,"but there were no serious accidents, beyond those caused by the goring of a maddened, over-driven ox which forced its way through the crowd.",wav2vec2-small,LJSpeech,24
0.07142857142857142,0.031578947368421054,1.2646276950836182,-20.22265625,THE HONEST OF IMPROVEMENT LAY UPON THE MAGISTRACY THE LOCAL AUTHORITIES ADMINISTERING LOCAL FUNDS,"The onus of improvement lay upon the magistracy, the local authorities administering local funds,",wav2vec2-small,LJSpeech,25
0.0,0.0,0.9315266609191895,-0.0859375,DURING THE DAYS OF HIS PROSPERITY HE WAS A GOVERNOR OF CHRIST'S HOSPITAL,"During the days of his prosperity he was a governor of Christ's Hospital,",wav2vec2-small,LJSpeech,26
0.045454545454545456,0.006993006993006993,1.6155822277069092,4.51953125,IN MANY OTHERS THERE WERE NO INFIRMARIES NO PLACEIS SET APART FOR THE CONFINEMENT OF PRISONERS AFFLICTED WITH DANGEROUS AND INFECTIOUS DISORDERS,"In many others there were no infirmaries, no places set apart for the confinement of prisoners afflicted with dangerous and infectious disorders.",wav2vec2-small,LJSpeech,27
0.0,0.0,1.2969648838043213,-1.32421875,AND ON ONE OCCASION AGENT KELLERMAN LEFT THE FRONT SEAT OF THE PRESIDENT'S CAR TO TAKE A SIMILAR POSITION,and on one occasion Agent Kellerman left the front seat of the President's car to take a similar position.,wav2vec2-small,LJSpeech,28
0.09090909090909091,0.02857142857142857,0.9961576461791992,-1.66796875,STUDYING UPON AN EMPTY STOMACH PROVOKES DISPETSIA AND INJURES THE EYES,Studying upon an empty stomach provokes dyspepsia and injures the eyes.,wav2vec2-small,LJSpeech,29
0.05263157894736842,0.008,1.7356493473052979,5.97265625,UNDER WHOLDING COMPANY DOMINATION THE UTILITY INDUSTRY HAS LONG BEEN HOPELESSLY AT WAR WITHIN ITSELF AND WITH PUBLIC SENTIMENT,under holding company domination the utility industry has long been hopelessly at war within itself and with public sentiment.,wav2vec2-small,LJSpeech,30
0.11538461538461539,0.0547945205479452,1.663501262664795,0.609375,WANERIHT WAS ALLOWED A CIGAR THE NIGHT BEFORE EXECUTION WHICH HE SMOKED IN THE PRISON YARD WALKING UP AND DOWN WITH THE GOVERNOR MISTER SIDNEY SMITH,"Wainwright was allowed a cigar the night before execution, which he smoked in the prison yard, walking up and down with the governor, Mr. Sydney Smith.",wav2vec2-small,LJSpeech,31
0.0,0.0,1.5314655303955078,-0.34765625,ABSOLUTE SECURITY IS NEITHER PRACTICAL NOR POSSIBLE AN APPROACH TO COMPLETE SECURITY WOULD REQUIRE THE PRESIDENT,Absolute security is neither practical nor possible. An approach to complete security would require the President,wav2vec2-small,LJSpeech,32
0.25,0.06,0.7307929992675781,0.82421875,FOR ACTING AS EXECUTIONER OF HOARSE MANGER LANE JAIL,For acting as executioner of Horsemonger Lane Jail,wav2vec2-small,LJSpeech,33
0.0,0.0,0.2835862636566162,-7.25,TWO YOUNG WOMEN,"Two young women,",wav2vec2-small,LJSpeech,34
0.0,0.0,1.4761064052581787,7.25,THEY WERE TAKEN BACK TO JAIL AND WERE AGAIN BROUGHT OUT IN THE AFTERNOON BY WHICH TIME FRESH AND STRONGER ROPES HAD BEEN PROCURED,"They were taken back to jail, and were again brought out in the afternoon, by which time fresh and stronger ropes had been procured,",wav2vec2-small,LJSpeech,35
0.0,0.0,0.6315217018127441,-2.5703125,GAVE MORE PEOPLE AN OPPORTUNITY TO PARTICIPATE,gave more people an opportunity to participate.,wav2vec2-small,LJSpeech,36
0.0,0.0,1.0177605152130127,1.48046875,A HANDSOME SUM WAS SUBSCRIBED FOR THE INJURED CONSTABLE WHO WAS DISABLED FOR LIFE,"A handsome sum was subscribed for the injured constable, who was disabled for life.",wav2vec2-small,LJSpeech,37
0.25,0.0673076923076923,1.2416458129882812,1.36328125,YOU WILL FIND THE MAILE BOX IN THE POST OFFICE WHICH IS LOCATED FOUR BLOCKS FROM THE DRUG STORE ON THAT STREET,You will find the mailbox in the post office which is located 4 blocks from the drugstore on that street.,wav2vec2-small,LJSpeech,38
0.08333333333333333,0.028985507246376812,1.0356898307800293,-0.44921875,NO PRISONERS SHOULD IN FUTURE BE IRON EXCEPT IN CASES OF MISCONDUCT,"No prisoners should in future be ironed, except in cases of misconduct,",wav2vec2-small,LJSpeech,39
0.0,0.0,0.9845728874206543,0.0390625,AND WITHOUT REFERENCE TO OR COMPARISON WITH THE DOCUMENTS IN WHICH THE PAYMENT WAS CLAIMED,and without reference to or comparison with the documents in which the payment was claimed.,wav2vec2-small,LJSpeech,40
0.047619047619047616,0.008264462809917356,1.4836623668670654,3.4140625,ALREADY THE SEVERITY OF OUR CRIMINAL CODE AND THE NUMBER OF CAPITAL FELLONIES UPON THE STATUTE BOOK HAD BROUGHT A REACTION,"Already the severity of our criminal code, and the number of capital felonies upon the statute book, had brought a reaction;",wav2vec2-small,LJSpeech,41
0.0,0.0,0.8547391891479492,1.36328125,OR TO ONE INDUSTRY OR TO AN INDIVIDUAL PRIVATE OCCUPATION,"or to one industry, or to an individual private occupation.",wav2vec2-small,LJSpeech,42
0.3076923076923077,0.0958904109589041,1.0186164379119873,-6.73828125,TO ISSUE NEW BONDS THEREFOR BEARING ONLY THREE AND ONE HALF PER CENT INTEREST,"to issue new bonds therefore bearing only 3 and one half percent interest,",wav2vec2-small,LJSpeech,43
0.0,0.0,0.7488589286804199,1.22265625,I COULDN'T IN ALL HONESTY SINCERELY SAY SUCH A THING,I couldn't in all honesty sincerely say such a thing.,wav2vec2-small,LJSpeech,44
0.16666666666666666,0.12380952380952381,1.4996240139007568,4.50390625,DURING THE MORNING OF NOVEMBER TWENTY ONE OSWALD ASKED PHRASIER WHETHER HE COULD RIDE HOME WITH HIM THAT AFTERNOON,"During the morning of November 21, Oswald asked Frazier whether he could ride home with him that afternoon.",wav2vec2-small,LJSpeech,45
0.1111111111111111,0.04081632653061224,1.2374930381774902,5.57421875,THEIR CRMES FOLLOW IN THE LINES OF OTHERS ALREADY FOUND AND OFTEN MORE THAN ONCE IN THE CALLANDERS,"their crimes follow in the lines of others already found, and often more than once, in the calendars.",wav2vec2-small,LJSpeech,46
0.36363636363636365,0.028169014084507043,0.9926776885986328,-6.1640625,JEWEL BOXES CLEVERLY STOLEN UNDER THE VERY NOSES OF OWNERS OR CARE TAKERS,jewel-boxes cleverly stolen under the very noses of owners or care-takers.,wav2vec2-small,LJSpeech,47
